,seed,mean_a,std_a,mean_v,std_v,mean_t,std_t,mean_z,std_z,rt
0,1,0.15569651348471514,0.010755629652236193,-1.910429732679669,1.0052997972060058,0.3280905167042846,0.0009372092410356723,0.53766742537251,0.046387702404967826,98
0,2,0.35959770842967814,0.024387489034580268,0.6800450639873937,0.49071636031547977,0.3508899644326943,0.005955326564608168,0.49006926836705417,0.050577295681556146,202
0,3,0.2464878742053464,0.016568768738295186,0.4255105896605423,0.68344372624451,0.3445528324117422,0.0024396749622943117,0.478466870730937,0.04917410910762745,145
0,4,0.22832828623872967,0.015498387167661823,-1.3071502839813542,0.752915587506286,0.3333609815329463,0.0022693729077012787,0.5621886251160725,0.05120298821178332,122
0,5,0.3651173176049827,0.024902529658607397,0.30809900308950455,0.46795659239620363,0.35669392334859196,0.005622678688864895,0.47264717181076477,0.04899608795398713,216
0,6,0.17626889752354744,0.015969176514979002,-0.9461241252451493,1.0029353194324175,0.3114491168439661,0.0030853851812334115,0.5911581685001155,0.05460673426453674,88
0,7,0.1189249658737998,0.008063355343997285,0.5220520538443784,1.1926253392244757,0.3304545019495311,0.0005620138606736991,0.508273436303733,0.04596581454563494,91
0,8,0.3165144431082892,0.021444650582535772,-0.5451568115458669,0.52462901186831,0.3383152829652371,0.004038491734542438,0.5369084333149233,0.0475016288182561,166
0,9,0.20213965992697938,0.1178395354514454,-0.606428251110185,0.670024011199217,0.29391437327923964,0.07084147447598067,0.46783209421252264,0.1570824108634176,133
0,10,0.16960482203198662,0.011348432367786909,1.259562607613173,0.9626137338052231,0.3249698477246706,0.0011309232877537742,0.49343018067367966,0.04985310976154091,99
0,11,0.22416340765105272,0.01528439676166628,-1.8498405212336662,0.7585433222275554,0.33256806797894556,0.0018825521258022807,0.5801108396398028,0.046507432071986335,120
0,12,0.15660760170953278,0.010926914031299128,1.2380291959808623,0.9953688382568887,0.3306034605121697,0.0010058906166657568,0.47556906021442635,0.04719005645894096,103
0,13,0.37944830577065763,0.02577242000489722,-0.06415589017465086,0.46874872194895906,0.34743688969937453,0.005913554964702381,0.46474228114728944,0.05104852607538018,215
0,14,0.28748484419710535,0.019045314954507057,-0.583944414224065,0.6044561352232409,0.36155132673928975,0.0032214318826497812,0.5749766118054063,0.04929378494570529,181
0,15,0.3681435825265869,0.025274963143726945,0.1419807303780438,0.48823314218849284,0.3510477364695308,0.005346601835584928,0.5247508221625241,0.05224808777027077,221
0,16,0.21537096796534613,0.01454482384544704,-0.8341624429637435,0.7515280095499142,0.3354972568660015,0.001852216885547633,0.5263688284106645,0.04837120786100432,118
0,17,0.2372396851594752,0.016098087131421614,0.4892327665394182,0.7146656011656862,0.3593228041199796,0.0022562695154974013,0.5090856580922798,0.05001424457222464,157
0,18,0.23074571764879404,0.02108388899343867,0.6079722400923436,0.7072432744180456,0.354941843310831,0.00536404781718593,0.42709063388537566,0.04576834878558547,154
0,19,0.3193893653096687,0.021583765925576662,0.5286283641240379,0.544045369823829,0.34169911456488694,0.004705118747360108,0.5034332051450562,0.05210605633452223,170
0,20,0.35519617791313546,0.025024085585200785,-0.6427703796989578,0.5303282568480145,0.3463323777076038,0.004977343385578381,0.4380089817700445,0.053999037159394636,200
0,21,0.22174364860736734,0.015027627411829019,-0.28563560266832727,0.7504991053987787,0.3481534842040662,0.001970654511369677,0.4848964915238405,0.04883179097659895,136
0,22,0.24091356366700917,0.017386322173148266,1.0278686627871032,0.6740265023632701,0.3519617259505281,0.002631025363703733,0.44088462344944535,0.045637472924269375,144
0,23,0.32327633360727714,0.021636080378516047,-0.3354410500500191,0.5283551528658026,0.34315653858751655,0.004281752033051702,0.544636173682339,0.047411624586778466,182
0,24,0.27922787795385884,0.024105815502097346,-0.31082814565094996,0.6181116929945827,0.3574934588570029,0.007600721180620791,0.44280589136644105,0.0488169538065659,169
0,25,0.126931664977054,0.015568076884279122,0.7711021816424227,1.2622025511833164,0.31663507772272376,0.003046405052368523,0.5166999768832616,0.055261345909163026,79
0,26,0.3280711618339969,0.02216543345265498,0.29940327827943114,0.531514946516921,0.37649944031422544,0.004356723418286539,0.46001739030523753,0.04919441067370738,219
0,27,0.23112136598315045,0.015296132580919244,0.2863777341337739,0.7469302687944877,0.342578243506258,0.001813970772360565,0.39766459045949604,0.05072703618587463,132
0,28,0.21022458066360183,0.014947812259758003,1.0120882153973851,0.7789522239135109,0.3612164567530431,0.0020338515619504303,0.5143264641356791,0.04876362196341226,141
0,29,0.2445104318745082,0.016523630327997977,0.7429875899087359,0.6916764908327667,0.34632143013110106,0.0022769100773408924,0.5140973760228373,0.048414505391380105,141
0,30,0.24540412574033343,0.016444726663008547,-0.0017169535672179315,0.6706324405630091,0.362455256068715,0.0025644967906884664,0.5088520424227647,0.04791392504923581,154
0,31,0.2519835172345204,0.01681499213719252,-0.1949272263814483,0.6710558590014237,0.3538040080360336,0.002430594517397025,0.5143351079089852,0.04944651184561966,157
0,32,0.2679074313188555,0.018318095388327137,-0.45812688894856307,0.6337398887881243,0.35099679807107814,0.003059288194672921,0.4537009534043268,0.04908545382705731,164
0,33,0.23781641817076177,0.01868489529619794,-0.5870948303788331,0.7886246267818029,0.36008248374666996,0.005142916845531297,0.5693059317564905,0.0622181941855387,163
0,34,0.1391294590109935,0.009994512136789448,-2.395411541859541,1.1714595216472752,0.32313472439962493,0.0007538860535027927,0.5530660139865959,0.05055579429027052,89
0,35,0.15919307187759363,0.01052053104314799,1.2875940008313913,1.010583689337691,0.3475243125523351,0.0009813253952420736,0.4327892824415123,0.04857670152484691,118
0,36,0.13090013884168952,0.009417580274341772,2.0726469716604825,1.1742064067806433,0.32574178066435294,0.001059896207618668,0.44776088359057237,0.051741469405597956,90
0,37,0.3354518318911187,0.022473151543084897,-0.3437872307422144,0.5200995688229824,0.3257853131574205,0.004507606552764126,0.5282173279332274,0.05101444972642481,170
0,38,0.1520242881772525,0.01813394863839343,-1.1931387243233258,1.0973445423241368,0.3268260372837212,0.0040857545037507985,0.5800003149709224,0.050877225289874754,96
0,39,0.1973633890633588,0.013414938543317899,0.37242209630155915,0.8416672793381361,0.32855241923923184,0.001468886299174042,0.5091266970678279,0.04938196587961154,111
0,40,0.15865314508571374,0.01039468329466377,-1.3139701906153005,1.033884605615954,0.3360240201231272,0.0008156786799261946,0.6027352925943483,0.048461092677317026,104
0,41,0.15725555921091308,0.01093235109146761,2.2403421122431575,1.0389601193066929,0.32102125280643135,0.0008714284987687418,0.45525687689698136,0.0483298110838274,92
0,42,0.2398043699790437,0.01649176423536551,0.2877380358357524,0.7229025453968763,0.3449667161389956,0.0028242656813499308,0.47347241756484504,0.05367417875033622,140
0,43,0.17295275800298843,0.012093821348935338,1.4615124216493094,0.9165725319619435,0.3478066401212645,0.0012886978284469075,0.46832549333914497,0.045544451187115496,125
0,44,0.14113890623712078,0.009187673694588514,0.28777235450293553,1.1116967545689462,0.3231812372814426,0.0007191598770078375,0.44873457314226367,0.04921845555979013,90
0,45,0.3382125476934159,0.022516562353611998,-0.2503255717606375,0.5278608015342976,0.34518875790577797,0.004528584063312137,0.4340195754577223,0.05128641408714054,182
0,46,0.26426942206978543,0.018334429013648935,-0.27483644746108055,0.6282163750252422,0.344166136596695,0.002698059213956763,0.5871971831154418,0.047731171576650584,150
0,47,0.1832452071608269,0.01246465448498057,0.9577655496156112,0.8935781529344629,0.33121252362224934,0.0013315890971831188,0.493428845690647,0.048692335217922475,108
0,48,0.1346322405181902,0.009138838833507055,1.3859220183091183,1.1543411515839792,0.32536826542077585,0.0006133195383884203,0.4129285019701298,0.048583480130071396,89
0,49,0.1481977224057039,0.01015620061982577,-0.15745880097253775,1.0850357221539169,0.3289907302074124,0.0007601093962382895,0.5449672108399768,0.05140223925821419,96
0,50,0.21040949396928135,0.018866921457805667,0.17264260733094175,0.8601704468561222,0.3305507218870978,0.004230990258074626,0.43590480992249764,0.05577201967513462,119
0,51,0.3773497496946059,0.026725845010028428,0.701564218990381,0.453992717168841,0.3453468220417701,0.0065141298159279055,0.4162812715569074,0.04675399758078977,219
0,52,0.1724960197876577,0.012491551503680368,-0.06973878085752885,1.006501085217839,0.32987677291969475,0.0017633706976440857,0.459601500691239,0.05403870003300354,104
0,53,0.24543200934331302,0.01649569010810336,1.4391797939908462,0.7124412510577416,0.3407000366719262,0.0023822658868650694,0.42680631439358,0.04856243065001744,133
0,54,0.12229549854855025,0.008200740288159052,-1.408557404086016,1.1738788845797905,0.32827069988415486,0.0005826096974772356,0.5488661369887131,0.04586330535377647,90
0,55,0.14699607459711428,0.011441527598615548,-0.941719349674302,1.0642323091873627,0.3292883315095601,0.0015791019917351095,0.45802054146901205,0.049558742956637286,96
0,56,0.1424570584612954,0.009846474790457192,-0.12989007377916897,1.0291833407363282,0.3320436356136073,0.0008204884182010954,0.48246974782230473,0.046298465023044036,99
0,57,0.12526891740138332,0.00848067120470951,0.4644387838753762,1.2094772684720232,0.33440381870705604,0.0005776571568349287,0.48462236441778134,0.04893571863789088,97
0,58,0.1690847146254415,0.011490552151275615,0.7766840443656577,0.9854783404393284,0.3302762183025138,0.0010115175833429193,0.5567445623374542,0.05262633392161744,103
0,59,0.14198609847387803,0.012278276078763624,1.6487402354653096,1.1738156354660039,0.3263279949628487,0.0018625457169844217,0.37218870036442275,0.04853670921294194,93
0,60,0.4211507431730294,0.029124861227555383,-0.31894915340142643,0.39685661832443847,0.33625486713193015,0.007721261270984027,0.4789464650421986,0.04711550164872823,248
0,61,0.37201372169139746,0.026049278152757864,-0.5814139099920758,0.4558031343865274,0.31928607771199924,0.0059488289817673685,0.5392031863645093,0.046800214210949515,176
0,62,0.14654049744037134,0.00982520942052939,-0.9914950375201206,1.0595130140327216,0.32989202194107453,0.0008508793074036506,0.5357537779424278,0.04961719089559481,100
0,63,0.15150188897305017,0.0120168078244754,-0.8236092972775402,1.089422593667581,0.33112146087874145,0.0017857805912870246,0.5262000488302639,0.059725360358440796,100
0,64,0.18045281711217176,0.01298669602841557,1.2664594323957967,0.9115761613179958,0.33493676736235306,0.0012514574209945486,0.5047995963066869,0.05119457244032974,112
0,65,0.18113436002995237,0.012586323774156275,0.4961696715891085,0.8918676901713388,0.33769649751108627,0.0012028111879352661,0.5398909173189703,0.04959773560218366,116
0,66,0.14361349795271675,0.010178051311103388,1.1560359086366274,1.1010765880666271,0.33362704820059086,0.0008501633558302806,0.5437665252834153,0.051356518040478916,100
0,67,0.16309232761506817,0.013712042456314768,1.791316031728863,1.0505673704822966,0.32505749342638435,0.0023782668318118923,0.4695817912986585,0.05724187816432556,97
0,68,0.1840005870522424,0.012695249444755839,-0.9653700814890884,0.8397561025635213,0.3520946487443442,0.0015673516924534217,0.4917004477420027,0.046765016581130824,128
0,69,0.13180954340535403,0.018834850926728944,0.508475771564727,1.3161776840372872,0.3378526228675755,0.00431095256658154,0.5586305456649222,0.06867723280409609,100
0,70,0.15879894344375378,0.010731502006442175,0.038473721930004784,1.0129648406562437,0.33450205151679974,0.0009151005264990889,0.4680142621986506,0.04931790105427519,106
0,71,0.1472666453024756,0.02168897082396902,1.1600049634295944,1.0893149497481593,0.3295931862394539,0.004774562988289828,0.4238512481895259,0.052620330166105636,98
0,72,0.17873046773219625,0.012007629907870097,0.40521550522142225,0.9188514986623952,0.3379001823956656,0.0012507613823174953,0.4712372666568379,0.04926447087273574,115
0,73,0.21040536644619873,0.014184917597898365,0.6236058302858457,0.8088550612414133,0.33883152162100794,0.0015203482632260776,0.42163696950866403,0.05021514637176052,121
0,74,0.15044603402501894,0.010444898871981844,1.7269133376688621,1.061315037525964,0.33933079270384214,0.000907828775371897,0.4290713582265579,0.049130358775706755,108
0,75,0.14833551269215411,0.01014063105201494,0.5145750387050962,1.0632195036428778,0.3329216868558145,0.0007845976203627846,0.4367995903109336,0.049386595269857655,102
0,76,0.24379357914385655,0.015908042700027117,0.09616077603894867,0.6766741724427284,0.3431765558372085,0.002474221576311315,0.5366956903912308,0.04941900756864889,130
0,77,0.1776614108915007,0.012016282667315678,1.7792530318500934,0.8668345802575994,0.34558620460668515,0.0012932574666239356,0.41422433834935574,0.04491448339248282,123
0,78,0.1336953320571834,0.009067755652170844,0.1241583180315621,1.1157471666296992,0.3386259095928912,0.0006887971393823361,0.5304986694088589,0.0472112352957057,103
0,79,0.15987895330220492,0.010847011254903558,-0.3670102779268173,1.025184873571146,0.32640101846762026,0.0009297306607296916,0.5419009017649823,0.05007804285794598,98
0,80,0.2133513342691642,0.014366894807307068,0.511933620160611,0.7603163186535401,0.3443149488724653,0.0017846414313574125,0.5101960028778796,0.04718055903436072,130
0,81,0.1500306569185448,0.010487040221733837,1.1927855028279,1.1144244032963304,0.3298332962708759,0.0008660394166436563,0.5260274224495727,0.05299751317514948,97
0,82,0.22278579925902636,0.01491103806833891,0.8361360550450413,0.7261653690820303,0.34613011461424714,0.0019693334216256487,0.4510054857750165,0.04719118936812469,141
0,83,0.2799909809108092,0.018019701812344514,-0.17563395770289697,0.5949509159546585,0.3477894669549122,0.0029414169385071558,0.5527164497580836,0.047283873561628456,153
0,84,0.2654138727869019,0.01780072192487922,-0.16915401772271707,0.6130376511808807,0.3480882477502706,0.002859097933607786,0.494533279825993,0.04642876675904117,147
0,85,0.17111375111166643,0.011403541446793928,1.2725022854263301,0.9468336777269808,0.33920487472118294,0.001069523783450871,0.44930017522662463,0.0496681707535669,114
0,86,0.14432740039819617,0.010379506855788355,1.1285286365674356,1.1557801494513764,0.3083233630088515,0.0012398894939917367,0.4767611738627139,0.058582012459274746,75
0,87,0.1207814825372565,0.008071183691834636,0.18360747641504527,1.201930680453644,0.3363212351543636,0.0005708326806340855,0.5162965936507006,0.04731671919634878,96
0,88,0.15165779154459966,0.010495735576952419,-1.4147997622906372,1.0403837465104964,0.3422670365220849,0.0009135805526729085,0.5027572559738559,0.048690779526351674,111
0,89,0.3221666771142034,0.022388368524037045,0.6854302016787731,0.5443043296718084,0.3394070270509729,0.004262049734983687,0.5171475297773482,0.04981099978992509,180
0,90,0.1837771186302686,0.015498703949118063,0.7512291300753251,0.9879106492649404,0.3442693631798581,0.0032813380208042663,0.498708964115393,0.06426249254051371,120
0,91,0.3546561161445394,0.025433906714415446,-1.3533091226392002,0.5028755918514964,0.3494100096015236,0.00489336161280766,0.5586041801044517,0.04766581450565874,205
0,92,0.18105008703537606,0.013331917163837512,2.697042847345973,0.9267633877191157,0.33833031964510546,0.0015034274872768119,0.46675854088095226,0.04722000740556848,115
0,93,0.12098565773279026,0.008506939761705445,-0.494823424450446,1.1602885346755267,0.31858209777455526,0.0006543584990965728,0.5103277225321866,0.04454157582813725,80
0,94,0.18888103171553,0.012719421358840622,1.5705005634305298,0.8578748410752063,0.3436255733517987,0.001387275507320813,0.48960183439242766,0.04774260721654128,119
0,95,0.18220101054700716,0.013067132919575843,-0.3897679596877149,0.9204522440651257,0.33631395133331465,0.001882770674873229,0.4913178702026438,0.052071701676444156,114
0,96,0.27417737216169846,0.019172510581329696,-0.2289889674702289,0.5927006808545006,0.34562084382783614,0.003264579679288359,0.5021631416641132,0.04607460126839489,161
0,97,0.21524932070374905,0.014350242977976735,0.02830932407391964,0.7398342148698989,0.34964784512125185,0.0020272497640053027,0.4671370584372247,0.04668749164215402,137
0,98,0.14090719155014866,0.010935239339925984,-0.23266595500592635,1.0756104339375516,0.32578049416545973,0.0016150705778993424,0.4592991704627656,0.04985360620179945,90
0,99,0.24308000154071646,0.01604314432490445,0.28055045703126563,0.6954405375170524,0.34191333661759143,0.002288896942334395,0.4556027409608703,0.05049268145977275,136
0,100,0.17844460284938748,0.012493733540525222,0.3857240067946906,0.911754733278202,0.3334107727988618,0.00128374668918735,0.4910417836762395,0.04872278971080053,111
0,101,0.16892960655746467,0.012590110161090587,-0.7864948769378717,1.0625668457655324,0.33832138457041355,0.0020894820425112984,0.5437520731595512,0.0646196280176767,111
0,102,0.14309994555472189,0.00939768145536708,-1.05973126609907,1.0693065320118107,0.33009794764370004,0.0006755773989916784,0.5572150506813138,0.047576504335611725,96
0,103,0.16456813457296643,0.011018367544344288,0.2818152878709832,1.0680534959481738,0.32693150926410053,0.0009461649851738026,0.4085698274743615,0.05350429123876362,99
0,104,0.16524769507258077,0.011406821430289437,0.3513792125420419,0.9778265681996421,0.3207085614903472,0.0009535514181047127,0.49630370477202473,0.04868536828097123,95
0,105,0.17687230422390973,0.01177519305434705,-0.08928598464073821,0.902305029484537,0.3428584129160041,0.001187290191372528,0.4994399180763283,0.0483583926903291,118
0,106,0.1642919497016877,0.011234884892074701,-1.0255360535084144,0.9917123084603038,0.32930310916905325,0.0010899075222785323,0.501927042491968,0.05088941683449891,100
0,107,0.25616038683908215,0.01735584401793049,-0.023674762004758158,0.6394764209091084,0.33747322945364616,0.0029477621283450998,0.49177998533962086,0.04672525378080966,139
0,108,0.16090899131064335,0.015002654363588335,-0.2270777000522666,1.007177282867213,0.32756080471884225,0.002999670807854167,0.457297081762095,0.05324713018419521,98
0,109,0.2286152968853991,0.01558245090581652,0.276630669162734,0.7188544216306386,0.33881383452284025,0.00218730683039722,0.4964949717879861,0.048506856056914495,133
0,110,0.40049508251870874,0.026798413172683364,-0.1908624976979216,0.45349102796571034,0.3505897066654401,0.006505602851066916,0.48728178222911767,0.050158471563590205,234
0,111,0.17774287276552883,0.01791443345570825,-1.8288189312285603,0.9455699619940641,0.34345360951881776,0.0034501585196219505,0.5797425270342357,0.05457120792955298,116
0,112,0.1741002336372936,0.01225936400151465,2.4010853544018693,0.9467000273142763,0.32965597691675763,0.0011042827514377192,0.4456035344677412,0.048074239101412425,103
0,113,0.18715532783276134,0.01218126461933107,1.4204961228665125,0.8818588146240447,0.3329036035738636,0.0013055062507862601,0.40754408778138135,0.0491100507422137,108
0,114,0.16645605702891886,0.01847774637382265,0.05975139910733426,1.1000529568251918,0.32961250652701857,0.004309488544462289,0.5395204561135102,0.06914074778114115,101
0,115,0.14156505859464358,0.009921792306823872,0.3867703105683173,1.0781627517079753,0.3307457474415027,0.0007436081064936166,0.43909574104628146,0.04798914062001501,98
0,116,0.17439911807811753,0.01191078925931445,0.4096387430997044,0.9175929698135705,0.3271100032540918,0.0011864082500869701,0.4899783637700056,0.04668313208973183,101
0,117,0.15863955334877777,0.01142061735858847,-0.8602668403032578,1.052050175589952,0.33480804411520687,0.001060753890414683,0.45635270260436095,0.051162880470005764,107
0,118,0.1884618698080307,0.012832033380767664,-0.09830373410694195,0.9163797942778014,0.3362448298563743,0.0012643975851551652,0.5594466317765189,0.053523594502150745,113
0,119,0.15788322633018123,0.014053051556909436,-0.07182912149063467,1.020059409623454,0.34028947388941305,0.0024731405478283187,0.4642053571986167,0.049787847714924185,111
0,120,0.12931437807551557,0.008945873210677026,0.9697662360041763,1.1573555841619723,0.3361652492607571,0.0006560499909459939,0.482928139956708,0.04872842263091573,99
0,121,0.19446151021780683,0.01602076403505725,1.1215369138972482,0.8723273489327946,0.34357452687084694,0.003450213659617781,0.42573123950193975,0.04981896691359139,126
0,122,0.10653146057654513,0.007213062011342342,-0.7215277575945652,1.3447192974249316,0.3208194146647009,0.0004224861867687317,0.5787429370806098,0.04996745657854044,80
0,123,0.1243322338784915,0.009975004907445678,-0.8714191701098016,1.1911053774742866,0.32727714873653874,0.0013499094038130963,0.5450704115950177,0.05013861288364003,89
0,124,0.33552207737035905,0.022504214610198248,0.11045495434036749,0.522911297667738,0.3419554318599552,0.0046278051476004115,0.4707827098725179,0.04850421801149943,184
0,125,0.1461575389027453,0.009645242063702084,2.9450953818341588,1.0842511110058026,0.33414882188200423,0.0007286956614789222,0.3976076156810993,0.04855777236955497,100
0,126,0.12330766003574635,0.008317473902612487,-0.6000359335840472,1.1487419897030746,0.33692231158555297,0.0006188815828526949,0.5397432682636408,0.046510979710775474,99
0,127,0.17129809329580076,0.011796783883783633,-0.4683155855100285,0.9470320714489887,0.34698099099403873,0.00118018547012074,0.4551963781539921,0.050892575333625484,121
0,128,0.2956834903455409,0.02080036330507881,-1.3908583809248687,0.5937444621506806,0.3477674553710879,0.003850698829672046,0.5319017750336882,0.05103935937360147,161
0,129,0.17924019915164996,0.015236566877771222,-0.42177897192048724,0.950374452128314,0.33713659144598296,0.003090607586029373,0.5015914362253112,0.05872531506817452,113
0,130,0.15198540331431473,0.010261613132573648,0.8910271509804941,1.0508831810501638,0.32536739609543414,0.0008752413111406787,0.47264074963931485,0.04896644637717356,97
0,131,0.13663403280325512,0.01099018784096875,-2.3687506339949396,1.3786046821938724,0.32306356141285947,0.0018228214608951151,0.48813824470704303,0.08268306432363504,87
0,132,0.16387350916822477,0.01442766759142148,1.2242725391667066,1.070312984107465,0.34066448079923367,0.0026104924476135693,0.4646857621728355,0.06263585653670894,113
0,133,0.1289623112186519,0.008781754598936015,1.2354304431084948,1.1774448384934673,0.3245873030259453,0.0005442102738715878,0.5729036020874485,0.04972812760155068,86
0,134,0.13461679926677325,0.009689977048770344,-2.4386912032082235,1.163251604462605,0.335086539742708,0.0007156437990170116,0.4828174746537989,0.05022599656756378,99
0,135,0.09904578665522683,0.009165665363721301,1.2910542963650546,1.3451172561037619,0.3150619703451423,0.0010087621441962446,0.46564095511654385,0.0493560453642739,73
0,136,0.18601753096225584,0.012582606940795462,0.6630430781075869,0.8732303456661739,0.3412075557369003,0.0014033402107087273,0.4931361133043321,0.04951775752921805,121
0,137,0.22628849289191547,0.01724624132374612,1.0926661112791138,0.7998590350360363,0.35392812227481013,0.0037539882149457693,0.4656550371307463,0.06144789609247398,141
0,138,0.14173852348627924,0.011466862965577525,-0.7929332889608814,1.0913892323267254,0.3277358169824117,0.0017077425763387891,0.5475714911382161,0.049966622193828636,96
0,139,0.17477204477637778,0.012375195298502562,-0.19339178492646109,0.9139370531891511,0.3325212978591377,0.0012372627018491225,0.4889053170560811,0.049054363650398926,110
0,140,0.1273428410078982,0.016125771280461238,0.037549173567302405,1.216550568593837,0.3278499915717769,0.003141824709360001,0.5066039756838427,0.0518992614903265,90
0,141,0.15945085556037322,0.010836573442878016,-0.07943058366545376,0.9591828272297459,0.34193872248193763,0.0010245795924207983,0.5357932509505519,0.04672742009678397,114
0,142,0.15321644594879097,0.012581988303813267,-0.6223284303283053,1.0310757213411346,0.32822122086114036,0.0019434019813785624,0.5790041320245397,0.05045582519007345,96
0,143,0.16501660256026535,0.010710503035019739,2.5426892411843736,1.0205696118685195,0.32543524545132013,0.0009119370238978519,0.3832428401577656,0.04926524916172043,97
0,144,0.1305405286563937,0.008920090031655075,-0.03401812869610809,1.2046310188912503,0.32629724876423255,0.0005944714834027187,0.4050905791972404,0.05147882321413938,90
0,145,0.16104861260285072,0.011125948471074365,0.5093763189297766,0.9713900673084803,0.3240543232716622,0.0010187355928248563,0.4461657418341057,0.04769452669713023,96
0,146,0.14696086263855557,0.012335366235568227,0.6220288400560319,1.1955086528094179,0.3227502116056288,0.002105455902388398,0.5145446693314856,0.06968234654728434,90
0,147,0.15059618122860421,0.01060773073220605,-0.1750416792223622,1.0810285721793929,0.3212393246138198,0.0012829422064313707,0.5259183508403955,0.052825490777105036,89
0,148,0.17982659440517965,0.01300321087565571,-0.05308772503633497,0.9099672231864899,0.33660544672367804,0.0019463984440541272,0.5331647133676437,0.05297356066633391,113
0,149,0.15995322488247365,0.01720462936836461,2.3963708962855135,1.0989835763542808,0.32115342742745917,0.003655704391397297,0.5020542133630909,0.05468631118179801,91
0,150,0.1317724633428651,0.008796690542484687,-0.9511135871007658,1.1284158008559475,0.32570298765654293,0.0006619047735730957,0.5086327831299753,0.04583812685108737,90
